feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV227	timepoint	w3	-1.43261348279764	0.32574942831835	86	11	5.0062395774203e-05	0.000336484955203659
ASV171	timepoint	w3	-1.46582926568104	0.333430641092257	86	45	5.06212338267641e-05	0.000338391943515869
ASV112	timepoint	w6	-1.16432526157658	0.265256706263921	86	70	5.19862338682358e-05	0.000344166074892315
ASV244	timepoint	w3	1.23239966280196	0.281066578164586	86	52	5.20446259593257e-05	0.000344166074892315
ASV133	timepoint	w3	1.98046073570283	0.453260223079457	86	49	5.48021987344184e-05	0.000360463660124784
ASV357	timepoint	w3	0.997125996684399	0.234657541384802	86	16	5.63463281711223e-05	0.000368648849204683
ASV365	timepoint	w3	-1.16594425555502	0.268772866243173	86	12	6.15604015719752e-05	0.000400631184833489
ASV40	timepoint	w6	-0.793256123770262	0.183375408982168	86	85	6.4027417281843e-05	0.000414493280298247
ASV72	timepoint	w6	-1.8866536111862	0.438165784873229	86	60	6.88753327980016e-05	0.000443542719065665
ASV397	timepoint	w6	-0.864062859386284	0.20187290676816	86	17	7.54121591830815e-05	0.000483109144766616
ASV43	timepoint	w6	0.940834553195254	0.220642549460747	86	83	7.90474527639831e-05	0.0005037739217601
ASV397	timepoint	w3	-0.866583101642494	0.203726417569742	86	17	8.13982791099711e-05	0.000513435299001356
ASV429	timepoint	w6	0.991821527024289	0.233117964948312	86	10	8.13636895409152e-05	0.000513435299001356
ASV250	timepoint	w6	-1.38177789411311	0.324922906641249	86	26	8.26070824691817e-05	0.000518401588964763
ASV5	timepoint	w6	-0.937964736902893	0.227863943179359	86	85	9.12090531523863e-05	0.000569477844555508
ASV245	timepoint	w6	1.60315777539849	0.380065073147457	86	29	9.35915036976272e-05	0.000581401765394351
ASV374	timepoint	w6	1.15727928384675	0.274636976338328	86	14	9.43199486475158e-05	0.000582982597168062
ASV347	timepoint	w3	-1.1345911602635	0.277428292698876	86	22	0.000100354730767612	0.000617181594220814
ASV70	timepoint	w3	-1.09884142536629	0.263073924196804	86	76	0.000104578784281168	0.000639959724705654
ASV213	timepoint	w6	1.34009002491591	0.320585709652492	86	18	0.000105452596709384	0.000642112346299714
ASV102	timepoint	w3	-1.8425507247444	0.441812711268553	86	53	0.000107025089859892	0.000648477145456491
ASV261	timepoint	w3	-1.03253204234213	0.253734737969442	86	40	0.000107916596707729	0.000650673597796601
ASV250	timepoint	w3	-1.36558021674293	0.32862174450598	86	26	0.000113499128823493	0.000680994772940956
ASV159	timepoint	w3	1.73436344086282	0.430456702393682	86	49	0.000124511107472189	0.00074344010772229
ASV28	timepoint	w3	-1.70211174117524	0.424847534701495	86	78	0.000134941582369319	0.000797971857280107
ASV312	timepoint	w3	1.06752193732219	0.260283431329273	86	32	0.000134541438740558	0.000797971857280107
ASV177	timepoint	w3	-1.2275649353367	0.299620713644808	86	58	0.000137181442721621	0.000807335763385616
ASV206	timepoint	w3	-1.47393300237269	0.361834227563923	86	13	0.000148396481983287	0.000869179394473541
ASV52	timepoint	w6	1.83593800844191	0.451353155309167	86	46	0.000151844153853959	0.000885157863698433
ASV215	timepoint	w6	-1.24764583676802	0.306915459113556	86	21	0.000154002067208382	0.000893502559746746
ASV295	timepoint	w3	0.967034337293679	0.24002542676037	86	38	0.000171540183708721	0.000985955261503399
ASV297	timepoint	w6	1.37205027073555	0.340373177673508	86	22	0.000171272753633068	0.000985955261503399
ASV5	genotype	KO	0.735180004968312	0.18735957168377	86	85	0.000180330057834979	0.00103165567970709
ASV209	timepoint	w3	1.20720742866954	0.301052111072769	86	51	0.000182044374421899	0.00103186442644671
ASV226	timepoint	w3	-1.34644664867415	0.335572797817054	86	16	0.000181908860896198	0.00103186442644671
ASV399	timepoint	w6	0.836842428637732	0.209514505426776	86	14	0.000194135369936314	0.00109535094046636
ASV153	timepoint	w6	1.33328302514558	0.341848785147595	86	69	0.000195855075909104	0.00110000796058538
ASV496	timepoint	w3	-0.644693701785819	0.16179029285615	86	5	0.00019988344125265	0.00111753014882164
ASV126	genotype	KO	1.19498169511071	0.307004329255806	86	63	0.000201255232214102	0.00112010830598799
ASV161	timepoint	w3	1.05243107454741	0.270787243661122	86	71	0.000205376009897522	0.00113789410889168
ASV144	timepoint	w3	-1.74307831658446	0.439303966956086	86	55	0.000209351994621841	0.00115472176405769
ASV86	timepoint	w3	-1.77827737130029	0.449249152094897	86	57	0.000216002971128412	0.00118608774324976
ASV146	timepoint	w6	0.855510272639747	0.216545171847232	86	77	0.000223247050580339	0.00122041720983919
ASV491	timepoint	w3	-0.72156742586236	0.183111928685204	86	5	0.000227643260689298	0.00123894340994618
ASV101	timepoint	w3	-1.42935669830695	0.362932379298417	86	64	0.000230765004782199	0.00124491647316712
ASV236	timepoint	w6	1.29346663202376	0.327264615939869	86	15	0.000229831609851128	0.00124491647316712
ASV105	timepoint	w6	1.73661320383989	0.441803951886332	86	33	0.000238884212740244	0.0012830898762904
ASV58	timepoint	w3	1.11780960995529	0.288748813641913	86	77	0.000286074238116843	0.00152987527340747
ASV305	timepoint	w6	1.17349225443795	0.303789322780814	86	20	0.000300138642649061	0.001598140824495
ASV483	timepoint	w3	-0.889126705265146	0.230831250420944	86	10	0.000303150928314757	0.00160722259408255
ASV82	timepoint	w6	-0.787522069860828	0.204836028802462	86	76	0.0003138872778032	0.0016570015094332
ASV355	timepoint	w3	-1.25152770767622	0.325885182194912	86	20	0.00031709010975958	0.00166675570514651
ASV420	timepoint	w3	0.946306502202988	0.247566950320447	86	12	0.000334919632650159	0.00175298360919019
ASV105	timepoint	w3	1.70040966994707	0.44679675311272	86	33	0.0003552375029288	0.0018514496974679
ASV440	timepoint	w6	-0.799667106296665	0.210055777391393	86	10	0.000358536069633474	0.00186075681708512
ASV76	timepoint	w3	1.10820299135755	0.293630021378042	86	78	0.000390834315762197	0.00201985801843488
ASV48	timepoint	w3	1.17907099880859	0.312906095079312	86	66	0.00040114514038367	0.00205573422918688
ASV75	genotype	KO	1.18043959620949	0.319932701024186	86	66	0.0004027902026293	0.00205573422918688
ASV347	timepoint	w6	-1.01471098254556	0.274952783612732	86	22	0.000401649701952079	0.00205573422918688
ASV49	genotype	KO	0.764957147945658	0.20757172242406	86	74	0.000408776631986784	0.0020776663526601
ASV251	timepoint	w6	-1.46997339965261	0.401674375091934	86	22	0.000445545053427266	0.00225522804821209
ASV275	timepoint	w6	-1.20561644351451	0.323276585123169	86	26	0.000452851735353628	0.0022828181741187
ASV262	timepoint	w6	-0.993391301008972	0.26711304160162	86	42	0.000471974106698691	0.00236950265811996
ASV96	timepoint	w6	-1.63603724428096	0.44186712932829	86	47	0.000499653112055252	0.00249826556027626
ASV210	genotype	KO	0.695874662984886	0.193077012348061	86	66	0.00053610831812357	0.00266968919551414
ASV483	timepoint	w6	-0.83757727522457	0.228759019138307	86	10	0.000560594615909436	0.00278036845793793
ASV46	genotype	KO	1.32466860440278	0.370325906303978	86	65	0.000586438319085013	0.00289686398584163
ASV39	timepoint	w3	0.881160997380534	0.242387237939507	86	83	0.00060623251072035	0.00298266395274412
ASV34	timepoint	w6	-1.82656707269593	0.503384729694077	86	63	0.000635520738056841	0.00310194645956315
ASV232	timepoint	w6	1.25581594157934	0.353377305471836	86	37	0.000633229589700356	0.00310194645956315
ASV540	timepoint	w6	0.660720126731956	0.182730518056514	86	6	0.000647247050825114	0.0031466951482802
ASV179	timepoint	w6	1.194146107282	0.33066502188125	86	61	0.000657538745012204	0.00317381168959886
ASV259	timepoint	w3	-1.02660909406099	0.284527499759625	86	50	0.00065798535028269	0.00317381168959886
ASV3	genotype	KO	1.74548540670462	0.454947314959566	86	64	0.00066958320497124	0.00321713805513525
