2023-12-20 20:41:56.260382 INFO::Writing function arguments to log file
2023-12-20 20:41:56.2647 DEBUG::Function arguments
2023-12-20 20:41:56.268112 DEBUG::Output folder: outputs/differential_abundance_16S_ASVs/lmm_maaslin2/ASVs/complete_model
2023-12-20 20:41:56.268319 DEBUG::Min Abundance: 0.000000
2023-12-20 20:41:56.268473 DEBUG::Min Prevalence: 0.120000
2023-12-20 20:41:56.268611 DEBUG::Normalization: CLR
2023-12-20 20:41:56.268744 DEBUG::Transform: NONE
2023-12-20 20:41:56.268873 DEBUG::Analysis method: LM
2023-12-20 20:41:56.269003 DEBUG::Max significance: 0.050000
2023-12-20 20:41:56.269141 DEBUG::Random effects: mouse_id
2023-12-20 20:41:56.269275 DEBUG::Fixed effects: genotype,timepoint
2023-12-20 20:41:56.269408 DEBUG::Correction method: BH
2023-12-20 20:41:56.269642 DEBUG::Standardize: TRUE
2023-12-20 20:41:56.269814 DEBUG::Cores: 1
2023-12-20 20:41:57.93311 INFO::Fitting model to feature number 60, ASV60
2023-12-20 20:41:57.963954 INFO::Fitting model to feature number 61, ASV61
2023-12-20 20:41:57.983534 INFO::Fitting model to feature number 62, ASV62
2023-12-20 20:41:58.003377 INFO::Fitting model to feature number 63, ASV63
2023-12-20 20:41:58.024633 INFO::Fitting model to feature number 64, ASV64
2023-12-20 20:41:58.043435 INFO::Fitting model to feature number 65, ASV65
2023-12-20 20:41:58.063328 INFO::Fitting model to feature number 66, ASV66
2023-12-20 20:41:58.082689 INFO::Fitting model to feature number 67, ASV67
2023-12-20 20:41:58.108072 INFO::Fitting model to feature number 68, ASV68
2023-12-20 20:41:58.126573 INFO::Fitting model to feature number 69, ASV69
2023-12-20 20:41:58.146553 INFO::Fitting model to feature number 70, ASV70
2023-12-20 20:41:58.166779 INFO::Fitting model to feature number 71, ASV71
2023-12-20 20:41:58.186151 INFO::Fitting model to feature number 72, ASV72
2023-12-20 20:41:58.204965 INFO::Fitting model to feature number 73, ASV73
2023-12-20 20:41:58.224947 INFO::Fitting model to feature number 74, ASV74
2023-12-20 20:41:58.2502 INFO::Fitting model to feature number 75, ASV75
2023-12-20 20:41:58.271464 INFO::Fitting model to feature number 76, ASV76
2023-12-20 20:41:58.29068 INFO::Fitting model to feature number 77, ASV77
2023-12-20 20:41:58.310199 INFO::Fitting model to feature number 78, ASV78
2023-12-20 20:41:58.329869 INFO::Fitting model to feature number 79, ASV79
2023-12-20 20:41:58.34912 INFO::Fitting model to feature number 80, ASV80
2023-12-20 20:41:58.368156 INFO::Fitting model to feature number 81, ASV81
2023-12-20 20:41:58.393622 INFO::Fitting model to feature number 82, ASV82
2023-12-20 20:41:58.413656 INFO::Fitting model to feature number 83, ASV83
2023-12-20 20:41:58.433313 INFO::Fitting model to feature number 84, ASV84
2023-12-20 20:41:58.45289 INFO::Fitting model to feature number 85, ASV85
2023-12-20 20:41:58.472362 INFO::Fitting model to feature number 86, ASV86
2023-12-20 20:41:58.490916 INFO::Fitting model to feature number 87, ASV87
2023-12-20 20:41:58.510289 INFO::Fitting model to feature number 88, ASV88
2023-12-20 20:41:58.529819 INFO::Fitting model to feature number 89, ASV89
2023-12-20 20:41:58.555181 INFO::Fitting model to feature number 90, ASV90
2023-12-20 20:41:58.574556 INFO::Fitting model to feature number 91, ASV91
2023-12-20 20:41:58.593642 INFO::Fitting model to feature number 92, ASV92
2023-12-20 20:41:58.614163 INFO::Fitting model to feature number 93, ASV93
2023-12-20 20:41:58.63386 INFO::Fitting model to feature number 94, ASV94
2023-12-20 20:41:58.65355 INFO::Fitting model to feature number 95, ASV95
2023-12-20 20:41:58.6732 INFO::Fitting model to feature number 96, ASV96
2023-12-20 20:41:58.69776 INFO::Fitting model to feature number 97, ASV97
2023-12-20 20:41:58.716582 INFO::Fitting model to feature number 98, ASV98
2023-12-20 20:41:58.736118 INFO::Fitting model to feature number 99, ASV99
2023-12-20 20:41:58.755583 INFO::Fitting model to feature number 100, ASV100
2023-12-20 20:41:58.775554 INFO::Fitting model to feature number 101, ASV101
2023-12-20 20:41:58.794752 INFO::Fitting model to feature number 102, ASV102
2023-12-20 20:41:58.814727 INFO::Fitting model to feature number 103, ASV103
2023-12-20 20:41:58.839826 INFO::Fitting model to feature number 104, ASV104
2023-12-20 20:41:58.859118 INFO::Fitting model to feature number 105, ASV105
2023-12-20 20:41:58.879602 INFO::Fitting model to feature number 106, ASV106
2023-12-20 20:41:58.899391 INFO::Fitting model to feature number 107, ASV107
2023-12-20 20:41:58.919609 INFO::Fitting model to feature number 108, ASV108
2023-12-20 20:41:58.946391 INFO::Fitting model to feature number 109, ASV109
2023-12-20 20:41:58.966 INFO::Fitting model to feature number 110, ASV110
2023-12-20 20:41:58.991515 INFO::Fitting model to feature number 111, ASV111
2023-12-20 20:41:59.011084 INFO::Fitting model to feature number 112, ASV112
2023-12-20 20:41:59.030667 INFO::Fitting model to feature number 113, ASV113
2023-12-20 20:41:59.050464 INFO::Fitting model to feature number 114, ASV114
2023-12-20 20:41:59.069984 INFO::Fitting model to feature number 115, ASV115
2023-12-20 20:41:59.089626 INFO::Fitting model to feature number 116, ASV116
2023-12-20 20:41:59.109054 INFO::Fitting model to feature number 117, ASV117
2023-12-20 20:41:59.136477 INFO::Fitting model to feature number 118, ASV118
2023-12-20 20:41:59.155474 INFO::Fitting model to feature number 119, ASV119
2023-12-20 20:41:59.17519 INFO::Fitting model to feature number 120, ASV120
2023-12-20 20:41:59.194177 INFO::Fitting model to feature number 121, ASV121
2023-12-20 20:41:59.213533 INFO::Fitting model to feature number 122, ASV122
2023-12-20 20:41:59.233253 INFO::Fitting model to feature number 123, ASV123
2023-12-20 20:41:59.252842 INFO::Fitting model to feature number 124, ASV124
2023-12-20 20:41:59.277329 INFO::Fitting model to feature number 125, ASV125
2023-12-20 20:41:59.297639 INFO::Fitting model to feature number 126, ASV126
2023-12-20 20:41:59.317903 INFO::Fitting model to feature number 127, ASV127
2023-12-20 20:41:59.337389 INFO::Fitting model to feature number 128, ASV128
2023-12-20 20:41:59.357207 INFO::Fitting model to feature number 129, ASV129
2023-12-20 20:41:59.377737 INFO::Fitting model to feature number 130, ASV130
2023-12-20 20:41:59.397169 INFO::Fitting model to feature number 131, ASV131
2023-12-20 20:41:59.422647 INFO::Fitting model to feature number 132, ASV132
2023-12-20 20:41:59.443049 INFO::Fitting model to feature number 133, ASV133
2023-12-20 20:41:59.462465 INFO::Fitting model to feature number 134, ASV134
2023-12-20 20:41:59.482194 INFO::Fitting model to feature number 135, ASV135
2023-12-20 20:41:59.502249 INFO::Fitting model to feature number 136, ASV136
2023-12-20 20:41:59.523468 INFO::Fitting model to feature number 137, ASV137
2023-12-20 20:41:59.54448 INFO::Fitting model to feature number 138, ASV138
2023-12-20 20:41:59.57112 INFO::Fitting model to feature number 139, ASV139
2023-12-20 20:41:59.590502 INFO::Fitting model to feature number 140, ASV140
2023-12-20 20:41:59.610591 INFO::Fitting model to feature number 141, ASV141
2023-12-20 20:41:59.630339 INFO::Fitting model to feature number 142, ASV142
2023-12-20 20:41:59.650296 INFO::Fitting model to feature number 143, ASV143
2023-12-20 20:41:59.671603 INFO::Fitting model to feature number 144, ASV144
2023-12-20 20:41:59.690822 INFO::Fitting model to feature number 145, ASV145
2023-12-20 20:41:59.710898 INFO::Fitting model to feature number 146, ASV146
2023-12-20 20:41:59.748959 INFO::Fitting model to feature number 147, ASV147
2023-12-20 20:41:59.770602 INFO::Fitting model to feature number 148, ASV148
2023-12-20 20:41:59.795068 INFO::Fitting model to feature number 149, ASV149
2023-12-20 20:41:59.818414 INFO::Fitting model to feature number 150, ASV150
2023-12-20 20:41:59.839116 INFO::Fitting model to feature number 151, ASV151
2023-12-20 20:41:59.860969 INFO::Fitting model to feature number 152, ASV152
2023-12-20 20:41:59.882246 INFO::Fitting model to feature number 153, ASV153
2023-12-20 20:41:59.911243 INFO::Fitting model to feature number 154, ASV154
2023-12-20 20:41:59.937022 INFO::Fitting model to feature number 155, ASV155
2023-12-20 20:41:59.956775 INFO::Fitting model to feature number 156, ASV156
2023-12-20 20:41:59.977791 INFO::Fitting model to feature number 157, ASV157
2023-12-20 20:41:59.997775 INFO::Fitting model to feature number 158, ASV158
2023-12-20 20:42:00.017991 INFO::Fitting model to feature number 159, ASV159
2023-12-20 20:42:00.037588 INFO::Fitting model to feature number 160, ASV160
2023-12-20 20:42:00.065708 INFO::Fitting model to feature number 161, ASV161
2023-12-20 20:42:00.086255 INFO::Fitting model to feature number 162, ASV162
2023-12-20 20:42:00.106245 INFO::Fitting model to feature number 163, ASV163
2023-12-20 20:42:00.124859 INFO::Fitting model to feature number 164, ASV164
2023-12-20 20:42:00.144338 INFO::Fitting model to feature number 165, ASV165
2023-12-20 20:42:00.165891 INFO::Fitting model to feature number 166, ASV166
2023-12-20 20:42:00.185496 INFO::Fitting model to feature number 167, ASV167
2023-12-20 20:42:00.218093 INFO::Fitting model to feature number 168, ASV168
2023-12-20 20:42:00.239861 INFO::Fitting model to feature number 169, ASV169
2023-12-20 20:42:00.261303 INFO::Fitting model to feature number 170, ASV170
2023-12-20 20:42:00.282233 INFO::Fitting model to feature number 171, ASV171
2023-12-20 20:42:00.303165 INFO::Fitting model to feature number 172, ASV172
2023-12-20 20:42:00.324022 INFO::Fitting model to feature number 173, ASV174
2023-12-20 20:42:00.344891 INFO::Fitting model to feature number 174, ASV175
2023-12-20 20:42:00.371106 INFO::Fitting model to feature number 175, ASV176
2023-12-20 20:42:00.389858 INFO::Fitting model to feature number 176, ASV177
2023-12-20 20:42:00.409673 INFO::Fitting model to feature number 177, ASV178
2023-12-20 20:42:00.429196 INFO::Fitting model to feature number 178, ASV179
2023-12-20 20:42:00.448741 INFO::Fitting model to feature number 179, ASV180
2023-12-20 20:42:00.468549 INFO::Fitting model to feature number 180, ASV181
2023-12-20 20:42:00.487336 INFO::Fitting model to feature number 181, ASV182
2023-12-20 20:42:00.507416 INFO::Fitting model to feature number 182, ASV183
2023-12-20 20:42:00.532928 INFO::Fitting model to feature number 183, ASV184
2023-12-20 20:42:00.552799 INFO::Fitting model to feature number 184, ASV185
2023-12-20 20:42:00.571134 INFO::Fitting model to feature number 185, ASV186
2023-12-20 20:42:00.590558 INFO::Fitting model to feature number 186, ASV187
2023-12-20 20:42:00.610102 INFO::Fitting model to feature number 187, ASV188
2023-12-20 20:42:00.629261 INFO::Fitting model to feature number 188, ASV189
2023-12-20 20:42:00.649777 INFO::Fitting model to feature number 189, ASV190
2023-12-20 20:42:00.679103 INFO::Fitting model to feature number 190, ASV191
2023-12-20 20:42:00.701691 INFO::Fitting model to feature number 191, ASV192
2023-12-20 20:42:00.722804 INFO::Fitting model to feature number 192, ASV193
2023-12-20 20:42:00.749644 INFO::Fitting model to feature number 193, ASV194
2023-12-20 20:42:00.770409 INFO::Fitting model to feature number 194, ASV195
2023-12-20 20:42:00.790763 INFO::Fitting model to feature number 195, ASV196
2023-12-20 20:42:00.811318 INFO::Fitting model to feature number 196, ASV197
2023-12-20 20:42:00.837978 INFO::Fitting model to feature number 197, ASV198
2023-12-20 20:42:00.857837 INFO::Fitting model to feature number 198, ASV199
2023-12-20 20:42:00.878512 INFO::Fitting model to feature number 199, ASV200
2023-12-20 20:42:00.898334 INFO::Fitting model to feature number 200, ASV201
2023-12-20 20:42:00.917969 INFO::Fitting model to feature number 201, ASV202
2023-12-20 20:42:00.938197 INFO::Fitting model to feature number 202, ASV203
2023-12-20 20:42:00.957447 INFO::Fitting model to feature number 203, ASV204
2023-12-20 20:42:00.983786 INFO::Fitting model to feature number 204, ASV205
2023-12-20 20:42:01.00348 INFO::Fitting model to feature number 205, ASV206
2023-12-20 20:42:01.023222 INFO::Fitting model to feature number 206, ASV207
2023-12-20 20:42:01.041842 INFO::Fitting model to feature number 207, ASV208
2023-12-20 20:42:01.06156 INFO::Fitting model to feature number 208, ASV209
2023-12-20 20:42:01.081341 INFO::Fitting model to feature number 209, ASV210
