feature	ASV1	ASV2	ASV3	ASV4	ASV10	ASV11	ASV13	ASV15	ASV17	ASV18	ASV27	ASV28	ASV33	ASV36	ASV53	ASV62	ASV63	ASV67	ASV68	ASV73	ASV74	ASV76	ASV81	ASV82	ASV86	ASV87	ASV88	ASV90	ASV93	ASV99	ASV100	ASV105	ASV107	ASV108	ASV117	ASV121	ASV126	ASV129	ASV137	ASV138	ASV139	ASV147	ASV148	ASV161	ASV169	ASV182	ASV188	ASV190	ASV205	ASV215	ASV226	ASV228	ASV233	ASV234	ASV238	ASV240	ASV245	ASV261	ASV262	ASV263	ASV275	ASV301	ASV348	ASV362	ASV365	ASV369	ASV399	ASV404	ASV412	ASV414	ASV419	ASV439	ASV449	ASV493	ASV498	ASV504	ASV530
Preg.Feces.PD.2169.week6.2	1346	263	3787	289	3223	174	3	2834	0	272	134	525	34	1289	382	191	57	97	250	148	79	1816	50	17	47	33	9	160	25	175	193	329	222	301	25	0	33	34	95	174	38	0	7	122	16	31	0	0	70	0	0	0	65	3	7	0	94	8	0	5	0	2	0	0	0	0	7	0	3	0	34	0	4	3	2	0	0
Preg.Feces.PD.2186.week0	1204	84	23332	731	275	465	122	17	331	381	76	614	150	26	60	21	214	10	0	8	46	105	11	184	163	366	27	41	39	22	36	0	23	25	27	29	8	0	61	4	0	0	17	13	6	0	6	41	0	0	0	17	6	7	0	0	6	0	3	0	33	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2186.week3	874	58	2060	1263	946	47	514	93	552	292	87	7	13	208	255	29	529	20	21	8	42	565	0	4	17	66	10	68	0	57	91	0	85	141	69	55	4	64	59	11	9	77	24	31	15	17	12	0	17	9	0	6	34	8	10	0	33	0	11	10	0	0	3	11	0	0	0	2	0	0	0	0	0	0	0	2	4
Preg.Feces.PD.2186.week6.2	727	108	3668	749	1579	170	209	1691	0	192	0	447	4	792	349	213	87	78	317	41	22	1114	30	33	14	62	0	96	5	265	121	0	127	148	40	0	38	48	0	69	27	0	0	65	42	0	0	8	34	0	0	3	35	0	5	0	29	11	0	0	0	10	0	0	0	0	6	3	0	4	23	0	7	0	0	0	0
Preg.Feces.PD.2202.week0	4842	323	22525	826	2173	661	372	86	197	1618	161	636	370	247	342	83	221	65	33	24	122	1123	39	115	253	752	256	414	125	235	208	0	209	284	68	65	30	20	199	24	34	6	32	93	51	31	12	31	72	18	0	31	132	44	31	5	36	13	35	16	128	5	14	15	9	20	7	9	3	0	0	0	0	0	5	0	0
Preg.Feces.PD.2202.week3	2796	137	5742	1415	2196	236	1308	334	0	453	487	682	215	809	234	75	759	34	61	64	68	1905	0	27	33	96	183	196	55	90	299	704	104	328	498	331	14	155	40	36	27	0	60	101	24	26	0	0	45	7	0	18	255	3	26	4	72	8	32	0	6	11	0	12	0	4	0	0	11	5	0	8	3	4	0	10	4
Preg.Feces.PD.2202.week6.2	1346	98	2549	1165	1344	178	174	89	4	515	83	38	326	171	213	80	236	41	81	11	29	690	45	35	32	28	103	138	13	223	65	525	63	330	21	31	43	20	71	8	16	0	41	80	15	15	0	0	19	20	0	9	65	4	28	0	13	4	11	2	0	2	5	0	0	0	0	3	0	0	2	0	0	0	0	0	0
Preg.Feces.PD.2209.week0	2222	117	15298	298	703	565	91	22	274	891	468	726	131	45	407	155	102	17	11	11	146	339	53	148	221	858	63	97	21	45	31	19	107	87	30	0	55	11	216	7	13	0	28	73	19	11	10	177	24	22	42	52	4	54	7	0	16	2	0	0	12	3	0	33	5	6	0	10	0	0	0	6	0	0	0	4	0
Preg.Feces.PD.2209.week3	5321	896	10469	2312	2124	652	1250	1418	0	852	400	890	65	386	575	44	1250	54	369	25	198	1914	17	58	124	389	19	236	74	183	216	1081	144	457	1053	0	6	74	11	67	41	0	0	138	57	21	10	0	51	0	0	8	119	0	19	4	91	8	0	0	6	7	0	0	0	9	7	3	107	5	6	15	0	0	0	0	0
Preg.Feces.PD.2209.week6.2	1107	1164	1342	121	3096	298	41	418	0	291	106	9	73	247	115	119	18	112	534	116	0	1453	0	7	39	21	114	84	53	192	342	0	193	146	8	0	3	99	6	9	20	546	0	40	15	20	0	0	82	0	0	0	136	0	12	11	109	17	0	79	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
Preg.Feces.PD.2211.week0	1645	199	17315	222	1561	687	20	112	260	615	371	282	171	54	326	57	47	37	17	14	87	516	116	122	388	313	75	180	53	115	45	10	131	185	15	0	33	0	72	19	24	0	14	33	18	25	0	71	31	7	64	65	36	28	4	7	10	12	3	0	17	0	0	8	9	0	0	7	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2211.week3	1435	1275	3503	1646	6161	171	229	97	0	507	184	39	83	578	678	42	585	156	54	14	84	2066	6	11	27	44	375	231	117	236	367	201	336	455	397	0	28	134	68	91	47	0	51	183	55	64	6	2	113	5	5	12	125	11	37	4	92	5	10	54	21	35	4	13	0	11	9	0	8	5	20	8	11	5	0	2	0
Preg.Feces.PD.2211.week6.2	1554	219	9069	69	1131	1140	68	177	0	814	237	315	472	67	225	115	23	57	84	33	14	604	134	127	276	66	47	85	14	69	83	24	114	103	26	44	0	0	23	55	18	0	33	29	19	7	0	0	15	0	0	18	38	0	5	0	12	18	0	33	6	0	0	5	0	0	0	0	3	0	3	0	0	0	0	0	0
Preg.Feces.PD.2217.week0	1659	39	18040	628	252	491	77	15	379	537	195	201	197	17	109	31	147	14	3	8	660	156	264	217	504	482	19	36	24	22	26	0	27	28	17	0	135	4	96	5	0	0	23	9	2	5	9	297	0	10	23	92	0	51	0	0	4	9	0	0	13	0	2	10	90	0	0	10	5	0	0	0	0	0	0	0	0
Preg.Feces.PD.2217.week3	2174	321	8089	4023	1904	184	2143	70	13	680	510	163	60	325	348	52	2429	51	24	43	76	991	0	14	48	161	217	135	48	74	170	95	71	175	678	64	0	27	82	45	17	0	91	62	27	23	40	2	26	5	2	14	65	0	12	0	38	2	35	0	20	4	2	18	0	3	0	0	24	8	0	15	0	3	0	16	0
Preg.Feces.PD.2217.week6.2	1914	362	13885	1168	1059	1238	304	278	6	215	155	456	517	132	446	218	363	43	35	17	42	510	366	49	228	203	77	58	19	90	87	61	36	75	113	44	110	21	128	26	12	7	34	20	19	7	0	0	5	3	0	42	12	10	3	3	3	5	4	0	25	2	0	8	0	0	4	3	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2222.week0	1910	135	17009	70	2070	518	781	41	7	799	190	161	330	253	161	124	22	45	36	16	182	783	10	115	124	241	117	127	16	115	94	0	145	247	42	181	128	7	108	16	32	0	54	27	13	29	19	9	27	11	0	25	65	28	7	3	13	4	13	0	7	6	6	15	12	5	0	5	2	0	0	0	0	0	0	0	0
Preg.Feces.PD.2222.week3	1604	1185	9666	2903	3504	111	718	111	0	431	108	2192	103	38	290	14	1113	132	25	17	163	1694	14	28	100	318	694	150	212	162	630	0	269	580	538	149	9	42	52	69	54	0	57	84	59	52	68	3	141	11	0	21	87	46	19	5	96	6	18	178	5	2	12	41	6	10	4	2	18	14	15	19	4	11	0	4	11
Preg.Feces.PD.2222.week6.2	723	1021	10475	480	2010	246	174	366	0	206	60	608	79	238	120	147	70	108	18	35	47	919	430	37	226	397	195	72	20	113	231	0	107	121	32	94	46	51	797	0	16	0	26	27	11	0	82	50	37	14	0	30	31	61	11	0	86	0	31	0	0	3	0	18	0	2	4	6	4	0	5	0	0	0	2	0	7
Preg.Feces.PD.2229.week0	4759	278	13115	325	2526	951	180	287	86	1249	504	151	614	355	820	145	90	121	40	67	591	1228	87	205	150	109	61	316	34	288	140	6	338	571	31	36	147	28	379	15	39	0	31	101	27	49	0	0	125	3	0	22	65	9	19	18	69	4	32	0	13	11	4	25	56	12	0	13	0	0	10	0	0	0	7	0	0
Preg.Feces.PD.2229.week3	2176	970	12643	1384	3076	557	2497	443	6013	701	180	11	113	529	322	74	1024	105	40	26	49	1811	5	46	149	436	112	179	143	148	419	55	166	524	647	120	24	120	112	29	32	1701	69	58	19	27	0	0	109	6	0	9	101	13	11	8	106	3	39	0	4	23	6	11	0	3	2	0	7	3	0	11	0	6	0	0	0
Preg.Feces.PD.2229.week6.2	822	1489	11494	20	2889	488	14	236	83	42	82	3074	59	112	151	89	5	141	129	78	16	1050	124	159	286	169	111	202	77	430	119	0	371	620	8	31	82	35	6	21	57	12	9	73	43	32	5	13	48	0	0	15	17	0	22	32	70	25	0	0	0	7	0	4	37	5	3	7	0	0	0	0	0	0	5	0	0
Preg.Feces.PD.2230.week0	1703	82	16897	812	903	1378	138	70	147	522	3	773	338	122	124	38	142	27	12	14	44	308	0	79	461	448	16	122	101	61	87	2	74	129	62	0	12	9	109	10	19	0	43	23	26	7	34	0	24	0	0	6	71	15	11	0	14	10	10	19	41	0	3	7	0	8	3	0	3	0	0	0	0	0	0	0	0
