feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV27	timepoint	w6	-0.50861076644509	0.307765334515788	86	78	0.104073536815934	0.174210050757107
ASV182	timepoint	w3	0.364550099096659	0.227038600098713	86	24	0.114030470500416	0.189503875435944
ASV261	genotype	KO	-0.325977595098079	0.20727558584324	86	11	0.119644321169106	0.197413129929025
ASV245	genotype	KO	-0.386656610582405	0.246424111115296	86	54	0.128510950982161	0.21053921756652
ASV348	timepoint	w3	0.333333836499397	0.218194524693107	86	0	0.132262539540773	0.215159483337455
ASV215	timepoint	w3	-0.510299395984896	0.344547848414787	86	14	0.144221902594579	0.232973842652781
ASV369	genotype	KO	0.285395491871223	0.189811019801446	86	0	0.145821896435671	0.233922625532222
ASV63	timepoint	w6	-0.351060230662453	0.240078572809677	86	71	0.1493613353059	0.237948058314916
ASV238	genotype	KO	-0.261925366172772	0.18109022152112	86	7	0.151882204944326	0.240306776316023
ASV87	genotype	KO	0.392628151701007	0.269251691117308	86	79	0.156206712372034	0.24546769087034
ASV99	genotype	KO	-0.182404534584133	0.128327205285408	86	86	0.166506810783307	0.259885630344216
ASV262	timepoint	w3	0.365495366285242	0.266821587535009	86	9	0.17629341362288	0.273313949979095
ASV1	genotype	KO	-0.136377278211739	0.101870342553464	86	86	0.184357071201426	0.280405840296834
ASV74	timepoint	w3	-0.365911779480052	0.272878364156228	86	73	0.183644736553651	0.280405840296834
ASV107	timepoint	w3	-0.171823887782694	0.127879202134395	86	86	0.18450947067151	0.280405840296834
ASV28	genotype	KO	-0.47217256391171	0.354087934399773	86	61	0.186063694453004	0.280897856004381
ASV498	timepoint	w6	0.22061010727258	0.165225953214074	86	0	0.187265237336254	0.280897856004381
ASV240	timepoint	w3	-0.397802106668404	0.303282238929228	86	7	0.193296644470889	0.288074354017905
ASV439	genotype	KO	0.194903300193623	0.150292770264385	86	1	0.198328986981533	0.293679461491886
ASV504	genotype	KO	-0.182858884762079	0.143172046215995	86	0	0.205137347968874	0.301826289049745
ASV81	genotype	KO	0.531841196261733	0.416785559860634	86	34	0.212682222948288	0.310090486702445
ASV348	timepoint	w6	-0.271682662697284	0.215841970403379	86	0	0.213438906431553	0.310090486702445
ASV63	genotype	KO	-0.319002400753408	0.254068931832847	86	71	0.220073850011533	0.317731620954151
ASV238	timepoint	w6	0.271059602222136	0.220239252129975	86	7	0.221934827977596	0.318428231446116
ASV498	timepoint	w3	-0.202535115656185	0.166821796505438	86	0	0.229809069658879	0.327690710439513
ASV4	genotype	KO	-0.314923726767708	0.259735595547893	86	85	0.235904228527146	0.332279736522992
ASV449	timepoint	w3	0.250304309381806	0.208315491492376	86	0	0.234587592254281	0.332279736522992
ASV493	genotype	KO	-0.146481695487101	0.128999185159293	86	0	0.259463844753756	0.363249382655259
ASV4	timepoint	w6	-0.274472134911952	0.243263181196087	86	85	0.264103730729032	0.36493181397444
ASV62	timepoint	w3	-0.215745527493898	0.193036744172294	86	76	0.266984747020261	0.36493181397444
ASV137	genotype	KO	0.360330676168327	0.317337333321911	86	62	0.266120226895155	0.36493181397444
ASV215	genotype	KO	-0.432562249965498	0.379416720725535	86	14	0.264206965909121	0.36493181397444
ASV81	timepoint	w6	0.419356748507724	0.379036704344342	86	34	0.273347481704824	0.371430989845967
ASV369	timepoint	w3	-0.239099988413313	0.217848421243678	86	0	0.277413847243155	0.374752039258296
ASV498	genotype	KO	-0.160933580624182	0.152684933221113	86	0	0.301101196169468	0.404385908808995
ASV240	genotype	KO	0.250803219010081	0.247146591595452	86	7	0.313188335347091	0.417452209043109
ASV263	genotype	KO	-0.349465361609352	0.341014494305185	86	10	0.314444521097407	0.417452209043109
ASV138	genotype	KO	-0.267641428149943	0.265347136123448	86	48	0.321994171184467	0.425032305963497
ASV161	genotype	KO	-0.147439686355957	0.148233608175631	86	77	0.328653952118638	0.431358312155713
ASV108	genotype	KO	-0.154423652931416	0.158540995056593	86	86	0.338614293963534	0.441920349749019
ASV238	timepoint	w3	-0.199478395273379	0.222222153567122	86	7	0.371998623178555	0.482762258169922
ASV99	timepoint	w3	0.138385908880865	0.155356028397936	86	86	0.376855835491287	0.486333508371438
ASV139	genotype	KO	-0.144430538339554	0.163186208243402	86	41	0.38385112034431	0.492608937775198
ASV73	genotype	KO	-0.216233570939355	0.249663784740637	86	44	0.393991709161625	0.502829197880306
ASV67	timepoint	w3	0.133561909299218	0.157167695195209	86	78	0.399054623616825	0.506492406898277
ASV301	genotype	KO	-0.229660930067909	0.269491283661337	86	7	0.401607766522223	0.506947508560839
ASV188	timepoint	w3	0.271523951300117	0.337088549890942	86	17	0.423963370784146	0.532258362234444
ASV117	genotype	KO	-0.123814831846865	0.155283429224378	86	61	0.432248187881593	0.539726115679178
ASV1	timepoint	w3	-0.0888828309986485	0.125008665386226	86	86	0.479093565249604	0.591862380616105
ASV263	timepoint	w3	0.277255733133204	0.389147183004939	86	10	0.47912668907018	0.591862380616105
ASV33	genotype	KO	0.174666995373644	0.246733758958635	86	77	0.484999091267355	0.592776667104545
ASV263	timepoint	w6	-0.271280076350941	0.385515366799648	86	10	0.484573126862328	0.592776667104545
ASV301	timepoint	w6	0.185639876393579	0.270272076528699	86	7	0.495051735418084	0.601878688850407
ASV262	genotype	KO	0.224527563749379	0.331756249818791	86	9	0.50435587776913	0.60998014536476
ASV2	genotype	KO	-0.145090042269477	0.22651562660272	86	86	0.527170510509923	0.634252020457251
ASV74	genotype	KO	0.138863542097478	0.222370284061018	86	73	0.534052724064292	0.637385134915129
ASV530	timepoint	w6	0.0879382285039367	0.140958134818386	86	0	0.535293143608377	0.637385134915129
ASV28	timepoint	w6	0.236688272472676	0.430636514801317	86	61	0.584070972443828	0.685507788621942
ASV53	genotype	KO	-0.0815859643727048	0.146882889230483	86	85	0.583108649635737	0.685507788621942
ASV147	timepoint	w3	0.312746437630946	0.568787905977179	86	23	0.584610538348583	0.685507788621942
ASV493	timepoint	w6	0.0802436232862033	0.156886903258581	86	0	0.610393540528233	0.712125797282939
ASV88	genotype	KO	-0.141689378460446	0.29523021853175	86	63	0.635175728716008	0.737314539363809
ASV18	timepoint	w6	0.0769797091087478	0.165051262159988	86	86	0.642757379572049	0.742384773405717
ASV530	genotype	KO	0.0691743423166913	0.149278190589205	86	0	0.646793137386046	0.743329426548143
ASV27	genotype	KO	-0.131231391078141	0.313403053734022	86	78	0.678691127217454	0.776126982115009
ASV439	timepoint	w6	0.0727026163563809	0.182783846888773	86	1	0.691846688478757	0.787273817924102
